# name	address (octal)	source (code: where the listing places it; table: the printed symbol table)	flags
# Derived from symelec-listing.txt by packages/cabinet/scripts/extract-symbols.mjs.
COMP3	10546	code+table	
COMP2	10552	code+table	
COMP5	10612	code+table	
COMP4	10620	code+table	
RINST	10621	code+table	
RLINE	10625	code+table	
COMP11	10631	code+table	
COMP12	10656	code+table	
COMP13	10670	code+table	
GETD	10701	table	multiply-defined,jms
GETD1	10716	code+table	
FLEAS	10717	table	multiply-defined,jms
FLEA1	10734	code+table	
FLEA2	10744	code+table	
FLEA3	10752	code+table	
SUBP	10753	code+table	
PNT1	10754	code+table	
PNT2	10755	code+table	
WRDF	10756	table	multiply-defined,jms
STAKX	10765	table	jms
STAKY	10777	table	jms
UNSTKX	11011	table	multiply-defined,jms
UNSTKY	11023	table	multiply-defined
DRLTD	11035	table	multiply-defined,jms
WRLB2	11203	code+table	
WRLB1	11210	code+table	
WRLB3	11225	code+table	
VECGN	11237	code	
VECON	11237	table	
WINDOW	11403	code+table	multiply-defined,jms
ONEIN	11470	code+table	
TWOIN	11500	code+table	
LOCATE	11510	code+table	jms
INTERG	11557	code+table	jms
SOLVAB	11624	table	jms
SET1	11635	code+table	
SOLVCD	11647	table	jms
SET2	11660	code+table	
SOLVE	11672	table	jms
ESCAPE	11727	code+table	
NEG	11733	code+table	
CDOCOM	11742	table	
RCATAL	11743	table	
RCOPY	11744	table	
RGROUP	11745	table	
RATTPO	11746	table	
RTFIRI	11747	table	
ELAD	11750	table	
LENGTH	11751	table	
ETYPE	11752	table	
SYMB	11753	table	
TEMP	11754	table	
FSBPI	11755	table	
INST	11756	table	
SYM	11757	table	
XBMO	11760	table	
BXBMO	11761	table	
YBMO	11762	table	
BYBMO	11763	table	
BSBWOR	11764	table	
RREDUC	11765	table	
RROTAT	11766	table	
BLINK1	11767	table	
JMPADR	11770	table	
SCRPAD	11771	table	
TEMP1	11772	table	
WORD	11773	table	
ELCOUN	11774	table	
SAVGSU	11775	table	
NODRA	11776	table	
PBDM	11777	table	
XBML	12000	table	
YBML	12001	table	
XBM	12002	table	
ENDEX	12003	table	
PNTX	12004	table	
YBM	12005	table	
ENDEY	12006	table	
PNTY	12007	table	
CERRGB	12010	table	
FREE	12011	table	
LOP	12012	table	
LINK	12013	table	
EL	12014	table	
EL1	12015	table	
POINT	12016	table	
LINE	12017	table	
GDM	12020	table	
BCC	12021	table	
RERROR	12022	table	
RTRACK	12023	table	
RTSNDI	12024	table	
CUPCOM	12025	table	
SAVGIN	12026	table	
RERASE	12027	table	
RUPCOM	12030	table	
RDOCOM	12031	table	
CISRTN	12032	table	
RBLINK	12033	table	
GRID	12034	table	
RLABEL	12035	table	
CERRDF	12036	table	
INT1	12037	table	
CTEMPX	12040	table	
CTEMPY	12041	table	
CBUSY	12042	table	
BPNTY	12044	table	
POS	12045	table	
BCON	12046	table	
BCON1	12047	table	
FIRSTA	12050	table	
SNDSTA	12051	table	
SAVE	12052	table	
RATTMO	12053	table	
CSAVE	12054	table	
XB	12055	table	
YB	12056	table	
TEMPXL	12057	table	
TEMPYL	12060	table	
SAVVE	12061	table	
XTOTUP	12062	table	
BPNTX	12063	table	
YTOTUP	12063	table	
VAIN1	12064	table	
TEST	12065	table	
